"DATE","PAIR","Frugivores","Other"
2021-05-18,1,0.130053128248198,-1.09861228866811
2021-05-18,3,-0.747214401830221,-1.6094379124341
2021-05-19,1,0.0555698511548108,1.94591014905531
2021-05-19,2,1.25276296849537,-0.510825623765991
2021-05-19,3,0.550046336919272,-0.405465108108164
2021-05-21,1,-0.212561441983673,0.998528830111127
2021-05-21,2,0.0800427076735364,Inf
2021-05-21,3,0.847297860387204,0.0689928714869514
2021-05-22,4,1.17865499634165,0.693147180559945
2021-05-22,5,0.864997437486605,Inf
2021-05-22,6,0.125163142954006,-0.693147180559945
2021-05-23,4,-0.162518929497775,0
2021-05-23,5,0.0870113769896297,Inf
2021-05-23,6,-1.17865499634165,1.6094379124341
2021-05-24,4,-0.538996500732687,0
2021-05-24,5,-0.313657558855042,0.287682072451781
2021-05-24,6,-0.980829253011726,Inf
2021-05-25,7,0.0800427076735364,Inf
2021-05-25,8,-1.09861228866811,1.6094379124341
2021-05-25,9,-1.45528723260684,Inf
2021-05-26,7,0.893817876022097,-Inf
2021-05-26,8,0.305381649551182,0
2021-05-26,9,0.479573080261886,0
2021-05-28,7,-0.8754687373539,0.287682072451781
2021-05-28,8,-0.722134717433198,NA
2021-05-28,9,-0.59783700075562,0.405465108108164
