"TRANSECT","TREATMENT","DISPERSAL.MODE","COUNT"
"NSTODD.1","CONTROL","ANEMOCHORY",1
"NSTODD.1","CONTROL","ENDOZOOCHORY",21
"NSTODD.1","CONTROL","SYNZOOCHORY",4
"NSTODD.1","CONTROL","UNDETERMINED",0
"NSTODD.1","CONTROL","EPIZOOCHORY",0
"NSTODD.1","CONTROL","DYSZOOCHORY",0
"NSTODD.1","CONTROL","MYRMECOCHORY",0
"NSTODD.2","CONTROL","ANEMOCHORY",2
"NSTODD.2","CONTROL","ENDOZOOCHORY",14
"NSTODD.2","CONTROL","SYNZOOCHORY",2
"NSTODD.2","CONTROL","UNDETERMINED",0
"NSTODD.2","CONTROL","EPIZOOCHORY",0
"NSTODD.2","CONTROL","DYSZOOCHORY",0
"NSTODD.2","CONTROL","MYRMECOCHORY",0
"NSTODD.3","CONTROL","ANEMOCHORY",9
"NSTODD.3","CONTROL","ENDOZOOCHORY",25
"NSTODD.3","CONTROL","SYNZOOCHORY",5
"NSTODD.3","CONTROL","UNDETERMINED",1
"NSTODD.3","CONTROL","EPIZOOCHORY",0
"NSTODD.3","CONTROL","DYSZOOCHORY",0
"NSTODD.3","CONTROL","MYRMECOCHORY",0
"W2A.1","FIRE","ANEMOCHORY",11
"W2A.1","FIRE","ENDOZOOCHORY",17
"W2A.1","FIRE","SYNZOOCHORY",5
"W2A.1","FIRE","UNDETERMINED",3
"W2A.1","FIRE","EPIZOOCHORY",11
"W2A.1","FIRE","DYSZOOCHORY",0
"W2A.1","FIRE","MYRMECOCHORY",0
"W2A.2","FIRE","ANEMOCHORY",18
"W2A.2","FIRE","ENDOZOOCHORY",8
"W2A.2","FIRE","SYNZOOCHORY",6
"W2A.2","FIRE","UNDETERMINED",5
"W2A.2","FIRE","EPIZOOCHORY",3
"W2A.2","FIRE","DYSZOOCHORY",2
"W2A.2","FIRE","MYRMECOCHORY",0
"W2A.3","FIRE","ANEMOCHORY",11
"W2A.3","FIRE","ENDOZOOCHORY",12
"W2A.3","FIRE","SYNZOOCHORY",4
"W2A.3","FIRE","UNDETERMINED",8
"W2A.3","FIRE","EPIZOOCHORY",4
"W2A.3","FIRE","DYSZOOCHORY",0
"W2A.3","FIRE","MYRMECOCHORY",0
"W2C.1","FIRE","ANEMOCHORY",25
"W2C.1","FIRE","ENDOZOOCHORY",5
"W2C.1","FIRE","SYNZOOCHORY",1
"W2C.1","FIRE","UNDETERMINED",3
"W2C.1","FIRE","EPIZOOCHORY",12
"W2C.1","FIRE","DYSZOOCHORY",0
"W2C.1","FIRE","MYRMECOCHORY",0
"W2C.2","FIRE","ANEMOCHORY",1
"W2C.2","FIRE","ENDOZOOCHORY",8
"W2C.2","FIRE","SYNZOOCHORY",0
"W2C.2","FIRE","UNDETERMINED",7
"W2C.2","FIRE","EPIZOOCHORY",3
"W2C.2","FIRE","DYSZOOCHORY",1
"W2C.2","FIRE","MYRMECOCHORY",0
"W2C.3","FIRE","ANEMOCHORY",7
"W2C.3","FIRE","ENDOZOOCHORY",13
"W2C.3","FIRE","SYNZOOCHORY",6
"W2C.3","FIRE","UNDETERMINED",4
"W2C.3","FIRE","EPIZOOCHORY",3
"W2C.3","FIRE","DYSZOOCHORY",2
"W2C.3","FIRE","MYRMECOCHORY",0
"W75.1","CONTROL","ANEMOCHORY",7
"W75.1","CONTROL","ENDOZOOCHORY",13
"W75.1","CONTROL","SYNZOOCHORY",3
"W75.1","CONTROL","UNDETERMINED",0
"W75.1","CONTROL","EPIZOOCHORY",0
"W75.1","CONTROL","DYSZOOCHORY",0
"W75.1","CONTROL","MYRMECOCHORY",0
"W75.2","CONTROL","ANEMOCHORY",3
"W75.2","CONTROL","ENDOZOOCHORY",10
"W75.2","CONTROL","SYNZOOCHORY",3
"W75.2","CONTROL","UNDETERMINED",0
"W75.2","CONTROL","EPIZOOCHORY",0
"W75.2","CONTROL","DYSZOOCHORY",1
"W75.2","CONTROL","MYRMECOCHORY",0
"W75.3","CONTROL","ANEMOCHORY",7
"W75.3","CONTROL","ENDOZOOCHORY",13
"W75.3","CONTROL","SYNZOOCHORY",3
"W75.3","CONTROL","UNDETERMINED",0
"W75.3","CONTROL","EPIZOOCHORY",0
"W75.3","CONTROL","DYSZOOCHORY",1
"W75.3","CONTROL","MYRMECOCHORY",0
"W75.4","CONTROL","ANEMOCHORY",2
"W75.4","CONTROL","ENDOZOOCHORY",15
"W75.4","CONTROL","SYNZOOCHORY",1
"W75.4","CONTROL","UNDETERMINED",0
"W75.4","CONTROL","EPIZOOCHORY",0
"W75.4","CONTROL","DYSZOOCHORY",0
"W75.4","CONTROL","MYRMECOCHORY",0
"WZ2.1","FIRE","ANEMOCHORY",16
"WZ2.1","FIRE","ENDOZOOCHORY",19
"WZ2.1","FIRE","SYNZOOCHORY",2
"WZ2.1","FIRE","UNDETERMINED",4
"WZ2.1","FIRE","EPIZOOCHORY",16
"WZ2.1","FIRE","DYSZOOCHORY",0
"WZ2.1","FIRE","MYRMECOCHORY",0
"WZ2.2","FIRE","ANEMOCHORY",12
"WZ2.2","FIRE","ENDOZOOCHORY",11
"WZ2.2","FIRE","SYNZOOCHORY",0
"WZ2.2","FIRE","UNDETERMINED",7
"WZ2.2","FIRE","EPIZOOCHORY",4
"WZ2.2","FIRE","DYSZOOCHORY",1
"WZ2.2","FIRE","MYRMECOCHORY",0
"WZ2.3","FIRE","ANEMOCHORY",5
"WZ2.3","FIRE","ENDOZOOCHORY",11
"WZ2.3","FIRE","SYNZOOCHORY",1
"WZ2.3","FIRE","UNDETERMINED",13
"WZ2.3","FIRE","EPIZOOCHORY",0
"WZ2.3","FIRE","DYSZOOCHORY",0
"WZ2.3","FIRE","MYRMECOCHORY",2
